OPO code,Center code,Begin date,End date,Local Transplants,Regional Transplants,KI transplants procured by this OPO for the center,PA transplants procured by this OPO for the center,LI transplants procured by this OPO for the center,IN transplants procured by this OPO for the center,HR transplants procured by this OPO for the center,LU transplants procured by this OPO for the center
MIOP,AZUA-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MNOP,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MOMA,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MSOP,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MWOB,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NEOR,AZUA-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,2
NMOP,AZUA-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,1,4
NVLV,AZUA-TX1,07/01/2017,06/30/2018,0,1,3,0,1,0,0,4
NYRT,AZUA-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
OKOP,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ORUO,AZUA-TX1,07/01/2017,06/30/2018,0,0,2,0,1,0,0,0
PADV,AZUA-TX1,07/01/2017,06/30/2018,0,0,7,0,0,0,0,0
TNDS,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXGC,AZUA-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,6
TXSA,AZUA-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
TXSB,AZUA-TX1,07/01/2017,06/30/2018,0,0,4,1,0,0,0,0
UTOP,AZUA-TX1,07/01/2017,06/30/2018,0,1,3,1,1,0,0,0
WALC,AZUA-TX1,07/01/2017,06/30/2018,0,0,6,0,0,0,0,2
WIDN,AZUA-TX1,07/01/2017,06/30/2018,0,0,1,1,0,0,0,0
AZOB,CACH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,2,0
CADN,CACH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,1,0
CAGS,CACH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,1,0
CAOP,CACH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,2,0
CASD,CACH-TX1,07/01/2017,06/30/2018,1,1,6,0,0,0,0,0
AZOB,CACL-TX1,07/01/2017,06/30/2018,0,1,0,0,4,0,1,0
CADN,CACL-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,2,0
CAGS,CACL-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
CAOP,CACL-TX1,07/01/2017,06/30/2018,1,1,17,0,11,0,4,0
CASD,CACL-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,0,0
NMOP,CACL-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
NVLV,CACL-TX1,07/01/2017,06/30/2018,0,1,0,0,4,0,0,0
UTOP,CACL-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
AZOB,CACS-TX1,07/01/2017,06/30/2018,0,1,8,0,4,0,3,0
CADN,CACS-TX1,07/01/2017,06/30/2018,0,1,11,0,6,0,10,1
CAGS,CACS-TX1,07/01/2017,06/30/2018,0,1,4,0,5,0,8,1
CAOP,CACS-TX1,07/01/2017,06/30/2018,1,1,90,0,57,0,69,14
CASD,CACS-TX1,07/01/2017,06/30/2018,0,1,4,1,4,0,2,0
CORS,CACS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
DCTC,CACS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLUF,CACS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MNOP,CACS-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,1
MWOB,CACS-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
NJTO,CACS-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
NMOP,CACS-TX1,07/01/2017,06/30/2018,0,1,0,0,4,0,1,0
NVLV,CACS-TX1,07/01/2017,06/30/2018,0,1,13,0,9,0,12,0
OHOV,CACS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ORUO,CACS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,4,0
PADV,CACS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXGC,CACS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXSB,CACS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,1,0
UTOP,CACS-TX1,07/01/2017,06/30/2018,0,1,4,0,4,0,0,0
WALC,CACS-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
AZOB,CAGH-TX1,07/01/2017,06/30/2018,0,1,3,0,3,0,0,0
CADN,CAGH-TX1,07/01/2017,06/30/2018,0,1,6,1,1,0,0,0
CAGS,CAGH-TX1,07/01/2017,06/30/2018,0,1,3,2,0,0,0,0
CAOP,CAGH-TX1,07/01/2017,06/30/2018,0,1,12,0,3,0,0,0
CASD,CAGH-TX1,07/01/2017,06/30/2018,1,1,23,0,17,0,0,0
ILIP,CAGH-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MAOB,CAGH-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MIOP,CAGH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MNOP,CAGH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MOMA,CAGH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MSOP,CAGH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NCNC,CAGH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NVLV,CAGH-TX1,07/01/2017,06/30/2018,0,1,2,0,6,0,0,0
PADV,CAGH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXGC,CAGH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXSA,CAGH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXSB,CAGH-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
UTOP,CAGH-TX1,07/01/2017,06/30/2018,0,1,3,1,0,0,0,0
VATB,CAGH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
AZOB,CAIM-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
CADN,CAIM-TX1,07/01/2017,06/30/2018,0,1,4,0,0,0,0,0
CAOP,CAIM-TX1,07/01/2017,06/30/2018,1,1,64,7,0,0,0,0
CASD,CAIM-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
ILIP,CAIM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NVLV,CAIM-TX1,07/01/2017,06/30/2018,0,1,4,0,0,0,0,0
OHLB,CAIM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
OKOP,CAIM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
SCOP,CAIM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
VATB,CAIM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
WIUW,CAIM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CAOP,CALA-TX1,07/01/2017,06/30/2018,1,1,39,0,0,0,0,0
TXSB,CALA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
AZOB,CALL-TX1,07/01/2017,06/30/2018,0,1,10,0,6,0,2,0
CADN,CALL-TX1,07/01/2017,06/30/2018,0,1,5,0,7,0,1,0
CAGS,CALL-TX1,07/01/2017,06/30/2018,0,1,5,0,6,0,2,0
CAOP,CALL-TX1,07/01/2017,06/30/2018,1,1,70,10,50,0,8,0
CASD,CALL-TX1,07/01/2017,06/30/2018,0,1,3,0,3,0,2,0
CORS,CALL-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
FLFH,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLWC,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
GALL,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
HIOP,CALL-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
IAOP,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
INOP,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MAOB,CALL-TX1,07/01/2017,06/30/2018,0,0,4,0,0,0,0,0
MIOP,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MOMA,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MWOB,CALL-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
NCCM,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NCNC,CALL-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
NJTO,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NMOP,CALL-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
NVLV,CALL-TX1,07/01/2017,06/30/2018,0,1,9,2,4,0,3,0
NYAP,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NYRT,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ORUO,CALL-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,1,0
PADV,CALL-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
PATF,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
SCOP,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXGC,CALL-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
TXSA,CALL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXSB,CALL-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
UTOP,CALL-TX1,07/01/2017,06/30/2018,0,1,6,0,3,0,0,0
WIDN,CALL-TX1,07/01/2017,06/30/2018,0,0,4,0,0,0,0,0
CADN,CAMB-TX1,07/01/2017,06/30/2018,1,1,10,0,2,0,0,0
CAGS,CAMB-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,0,0
CAOP,CAMB-TX1,07/01/2017,06/30/2018,0,1,0,0,3,0,0,0
MNOP,CAMB-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NMOP,CAMB-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
AZOB,CAPC-TX1,07/01/2017,06/30/2018,0,1,0,0,5,0,1,0
CADN,CAPC-TX1,07/01/2017,06/30/2018,1,1,32,0,7,0,11,0
CAGS,CAPC-TX1,07/01/2017,06/30/2018,0,1,1,0,1,0,1,0
CAOP,CAPC-TX1,07/01/2017,06/30/2018,0,1,2,0,7,0,7,2
CASD,CAPC-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,1,0
INOP,CAPC-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
LAOP,CAPC-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
MIOP,CAPC-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
MWOB,CAPC-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
NVLV,CAPC-TX1,07/01/2017,06/30/2018,0,1,0,0,3,0,5,0
ORUO,CAPC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,4,0
TXGC,CAPC-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
TXSB,CAPC-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
UTOP,CAPC-TX1,07/01/2017,06/30/2018,0,1,0,0,5,0,0,0
WALC,CAPC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,2
AZOB,CAPM-TX1,07/01/2017,06/30/2018,0,1,7,1,4,0,0,0
CADN,CAPM-TX1,07/01/2017,06/30/2018,1,1,95,13,41,0,14,0
CAGS,CAPM-TX1,07/01/2017,06/30/2018,0,1,6,1,5,0,0,0
CAOP,CAPM-TX1,07/01/2017,06/30/2018,0,1,9,2,4,0,0,0
CASD,CAPM-TX1,07/01/2017,06/30/2018,0,1,8,0,2,0,0,0
CORS,CAPM-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
CTOP,CAPM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
DCTC,CAPM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLFH,CAPM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
KYDA,CAPM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MAOB,CAPM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MOMA,CAPM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NVLV,CAPM-TX1,07/01/2017,06/30/2018,0,1,12,0,5,0,3,0
NYRT,CAPM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OHOV,CAPM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
OKOP,CAPM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ORUO,CAPM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
PADV,CAPM-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
TNDS,CAPM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXSB,CAPM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
UTOP,CAPM-TX1,07/01/2017,06/30/2018,0,1,1,0,3,0,0,0
